playerID,yearID,teamID,lgID,round,POS,G,GS,InnOuts,PO,A,E,DP,TP,PB,SB,CS
lavalmi01,1990,PIT,NL,NLCS,C,3,2,60,17,2,0,0,0,0,,
lindjo01,1990,PIT,NL,NLCS,2B,6,6,156,19,19,0,4,0,,,
mahleri01,1990,CIN,NL,NLCS,P,1,0,5,0,0,0,0,0,,,
martica01,1990,PIT,NL,NLCS,1B,2,2,51,15,1,0,1,0,,,
mcgeewi01,1990,OAK,AL,ALCS,CF,2,2,54,2,0,0,0,0,,,
mcgeewi01,1990,OAK,AL,WS,CF,2,1,25,3,0,0,0,0,,,
mcgeewi01,1990,OAK,AL,WS,RF,1,1,27,2,0,0,0,0,,,
mcgwima01,1990,OAK,AL,ALCS,1B,4,4,108,40,0,0,3,0,,,
mcgwima01,1990,OAK,AL,WS,1B,4,4,106,42,1,2,5,0,,,
mooremi01,1990,OAK,AL,ALCS,P,1,1,18,0,0,0,0,0,,,
mooremi01,1990,OAK,AL,WS,P,1,1,8,0,0,0,0,0,,,
morriha02,1990,CIN,NL,NLCS,1B,4,4,105,20,2,0,2,0,,,
morriha02,1990,CIN,NL,WS,1B,2,2,51,18,1,0,1,0,,,
murphro01,1990,BOS,AL,ALCS,P,1,0,2,0,0,0,0,0,,,
myersra01,1990,CIN,NL,NLCS,P,4,0,17,0,0,0,0,0,,,
myersra01,1990,CIN,NL,WS,P,3,0,9,0,0,0,0,0,,,
nelsoge01,1990,OAK,AL,ALCS,P,1,0,5,0,0,0,0,0,,,
nelsoge01,1990,OAK,AL,WS,P,2,0,15,0,0,0,0,0,,,
oestero01,1990,CIN,NL,NLCS,2B,2,0,12,0,1,0,0,0,,,
olivejo01,1990,CIN,NL,NLCS,C,5,4,103,27,1,0,0,0,0,,
olivejo01,1990,CIN,NL,WS,C,4,4,111,27,1,3,0,0,0,,
oneilpa01,1990,CIN,NL,NLCS,RF,5,5,126,9,2,0,1,0,,,
oneilpa01,1990,CIN,NL,WS,RF,4,4,111,11,0,0,0,0,,,
pattebo01,1990,PIT,NL,NLCS,P,2,0,3,0,1,0,0,0,,,
penato01,1990,BOS,AL,ALCS,C,4,4,102,22,3,1,1,0,1,,
powerte01,1990,PIT,NL,NLCS,P,3,1,15,0,1,0,0,0,,,
quintca01,1990,BOS,AL,ALCS,1B,4,4,102,29,2,0,5,0,,,
quirkja01,1990,OAK,AL,WS,C,1,1,27,2,2,0,0,0,0,,
randowi01,1990,OAK,AL,ALCS,2B,4,2,67,5,9,0,1,0,,,
randowi01,1990,OAK,AL,WS,2B,4,4,106,14,12,0,5,0,,,
reardje01,1990,BOS,AL,ALCS,P,1,0,6,0,0,0,0,0,,,
redusga01,1990,PIT,NL,NLCS,1B,2,2,36,16,0,0,0,0,,,
reedje02,1990,CIN,NL,NLCS,C,4,2,56,24,1,0,0,0,0,,
reedjo01,1990,BOS,AL,ALCS,2B,4,4,87,10,11,0,4,0,,,
reedjo01,1990,BOS,AL,ALCS,SS,3,0,15,0,0,0,0,0,,,
reynorj01,1990,PIT,NL,NLCS,RF,3,1,57,2,0,1,0,0,,,
rijojo01,1990,CIN,NL,NLCS,P,2,2,37,0,0,0,0,0,,,
rijojo01,1990,CIN,NL,WS,P,2,2,46,0,2,0,0,0,,,
riverlu01,1990,BOS,AL,ALCS,SS,4,4,87,7,16,1,3,0,,,
saboch01,1990,CIN,NL,NLCS,3B,6,6,159,7,7,0,1,0,,,
saboch01,1990,CIN,NL,WS,3B,4,4,111,3,14,0,0,0,,,
sandesc01,1990,OAK,AL,WS,P,2,0,5,0,0,0,0,0,,,
scuddsc01,1990,CIN,NL,NLCS,P,1,0,3,0,0,0,0,0,,,
scuddsc01,1990,CIN,NL,WS,P,1,0,4,0,0,0,0,0,,,
slaugdo01,1990,PIT,NL,NLCS,C,4,4,96,22,1,1,0,0,0,,
smilejo01,1990,PIT,NL,NLCS,P,1,0,6,0,0,0,0,0,,,
smithza01,1990,PIT,NL,NLCS,P,2,1,27,0,1,0,0,0,,,
steinte01,1990,OAK,AL,ALCS,C,3,3,81,11,0,0,0,0,0,,
steinte01,1990,OAK,AL,WS,C,3,2,52,8,1,0,0,0,0,,
stewada01,1990,OAK,AL,ALCS,P,2,2,48,0,3,0,0,0,,,
stewada01,1990,OAK,AL,WS,P,2,2,39,2,1,1,0,0,,,
vanslan01,1990,PIT,NL,NLCS,CF,6,6,156,13,1,0,0,0,,,
walkbo01,1990,PIT,NL,NLCS,P,2,2,39,2,1,0,0,0,,,
weisswa01,1990,OAK,AL,ALCS,SS,2,2,50,2,7,1,1,0,,,
welchbo01,1990,OAK,AL,ALCS,P,1,1,22,0,3,0,0,0,,,
welchbo01,1990,OAK,AL,WS,P,1,1,22,0,2,0,0,0,,,
winnihe01,1990,CIN,NL,NLCS,CF,2,2,51,7,0,0,0,0,,,
winnihe01,1990,CIN,NL,WS,CF,1,0,24,3,0,0,0,0,,,
youngcu01,1990,OAK,AL,WS,P,1,0,3,0,0,0,0,0,,,
ackerji01,1991,TOR,AL,ALCS,P,1,0,2,0,0,0,0,0,,,
aguilri01,1991,MIN,AL,ALCS,P,3,0,10,0,0,0,0,0,,,
aguilri01,1991,MIN,AL,WS,P,4,0,15,0,0,0,0,0,,,
alomaro01,1991,TOR,AL,ALCS,2B,5,5,135,14,9,0,2,0,,,
averyst01,1991,ATL,NL,NLCS,P,2,2,49,1,2,0,0,0,,,
averyst01,1991,ATL,NL,WS,P,2,2,39,1,0,0,0,0,,,
bedrost01,1991,MIN,AL,ALCS,P,2,0,4,0,0,0,0,0,,,
bedrost01,1991,MIN,AL,WS,P,3,0,10,0,1,0,0,0,,,
belinst01,1991,PIT,NL,NLCS,P,3,0,15,0,1,0,0,0,,,
bellira01,1991,ATL,NL,NLCS,SS,7,7,177,9,14,1,4,0,,,
bellira01,1991,ATL,NL,WS,SS,7,7,165,8,21,0,4,0,,,
bellja01,1991,PIT,NL,NLCS,SS,7,7,189,12,19,1,2,0,,,
blausje01,1991,ATL,NL,NLCS,SS,2,0,12,0,1,1,0,0,,,
blausje01,1991,ATL,NL,WS,SS,5,0,31,3,3,0,1,0,,,
bondsba01,1991,PIT,NL,NLCS,LF,7,7,189,14,0,1,0,0,,,
bonilbo01,1991,PIT,NL,NLCS,RF,7,7,189,12,1,0,0,0,,,
bordepa01,1991,TOR,AL,ALCS,C,5,5,135,38,4,2,0,0,2,,
breamsi01,1991,ATL,NL,NLCS,1B,4,2,62,19,4,0,2,0,,,
breamsi01,1991,ATL,NL,WS,1B,7,7,181,69,7,0,6,0,,,
brownja03,1991,MIN,AL,WS,CF,1,0,3,0,0,0,0,0,,,
brownja03,1991,MIN,AL,WS,RF,1,0,3,0,0,0,0,0,,,
buechst01,1991,PIT,NL,NLCS,3B,7,7,189,9,14,0,1,0,,,
bushra01,1991,MIN,AL,WS,RF,2,0,14,0,0,0,0,0,,,
cabrefr01,1991,ATL,NL,WS,C,1,0,3,0,0,0,0,0,0,,
candito01,1991,TOR,AL,ALCS,P,2,2,23,0,2,0,1,0,,,
cartejo01,1991,TOR,AL,ALCS,RF,3,3,72,4,1,0,0,0,,,
clancji01,1991,ATL,NL,NLCS,P,1,0,1,0,0,0,0,0,,,
clancji01,1991,ATL,NL,WS,P,3,0,13,0,0,0,0,0,,,
davisch01,1991,MIN,AL,WS,RF,1,1,21,1,0,0,0,0,,,
drabedo01,1991,PIT,NL,NLCS,P,2,2,45,3,0,0,0,0,,,
duceyro01,1991,TOR,AL,ALCS,RF,1,0,9,0,0,0,0,0,,,
ericksc01,1991,MIN,AL,ALCS,P,1,1,12,1,1,0,0,0,,,
ericksc01,1991,MIN,AL,WS,P,2,2,32,1,0,0,0,0,,,
gagnegr01,1991,MIN,AL,ALCS,SS,5,5,132,9,9,2,1,0,,,
gagnegr01,1991,MIN,AL,WS,SS,7,7,196,13,24,0,5,0,,,
gantro01,1991,ATL,NL,NLCS,CF,7,7,189,15,2,0,0,0,,,
gantro01,1991,ATL,NL,WS,CF,7,7,196,19,0,0,0,0,,,
gladdda01,1991,MIN,AL,ALCS,LF,5,5,138,20,0,0,0,0,,,
gladdda01,1991,MIN,AL,WS,LF,7,7,202,25,1,1,0,0,,,
glavito02,1991,ATL,NL,NLCS,P,2,2,42,1,3,0,0,0,,,
glavito02,1991,ATL,NL,WS,P,2,2,40,0,3,0,1,0,,,
gonzare01,1991,TOR,AL,ALCS,1B,1,0,3,2,0,0,0,0,,,
gonzare01,1991,TOR,AL,ALCS,SS,1,0,3,0,0,0,0,0,,,
grubeke01,1991,TOR,AL,ALCS,3B,5,5,135,3,6,3,0,0,,,
guthrma01,1991,MIN,AL,ALCS,P,2,0,8,0,1,0,0,0,,,
guthrma01,1991,MIN,AL,WS,P,4,0,12,0,1,0,0,0,,,
guzmaju01,1991,TOR,AL,ALCS,P,1,1,17,0,0,0,0,0,,,
harpebr01,1991,MIN,AL,ALCS,C,5,4,102,23,1,1,0,0,0,,
harpebr01,1991,MIN,AL,WS,C,7,5,157,33,5,1,1,0,1,,
henketo01,1991,TOR,AL,ALCS,P,2,0,8,0,2,0,0,0,,,
hrbekke01,1991,MIN,AL,ALCS,1B,5,5,138,40,8,0,3,0,,,
hrbekke01,1991,MIN,AL,WS,1B,7,7,199,65,8,0,4,0,,,
huntebr01,1991,ATL,NL,NLCS,1B,5,5,127,30,4,0,3,0,,,
huntebr01,1991,ATL,NL,WS,1B,4,0,15,3,0,0,0,0,,,
huntebr01,1991,ATL,NL,WS,LF,4,4,106,3,1,1,1,0,,,
justida01,1991,ATL,NL,NLCS,RF,7,7,189,17,0,1,0,0,,,
justida01,1991,ATL,NL,WS,RF,7,7,196,21,1,1,0,0,,,
keyji01,1991,TOR,AL,ALCS,P,1,1,18,0,3,0,1,0,,,
kippebo01,1991,PIT,NL,NLCS,P,1,0,6,0,1,0,0,0,,,
knoblch01,1991,MIN,AL,ALCS,2B,5,5,138,8,14,0,3,0,,,
knoblch01,1991,MIN,AL,WS,2B,7,7,196,15,14,1,1,0,,,
landrbi01,1991,PIT,NL,NLCS,P,1,0,3,0,0,0,0,0,,,
lavalmi01,1991,PIT,NL,NLCS,C,3,2,51,14,3,0,0,0,0,,
leachte01,1991,MIN,AL,WS,P,2,0,7,0,0,0,0,0,,,
leema02,1991,TOR,AL,ALCS,SS,5,5,132,8,16,1,3,0,,,
leibrch01,1991,ATL,NL,NLCS,P,1,1,20,0,1,0,0,0,,,
leibrch01,1991,ATL,NL,WS,P,2,1,12,0,1,0,0,0,,,
leiussc01,1991,MIN,AL,ALCS,3B,3,1,39,1,4,0,1,0,,,
leiussc01,1991,MIN,AL,WS,3B,6,5,115,5,7,1,0,0,,,
leiussc01,1991,MIN,AL,WS,SS,1,0,3,0,1,0,0,0,,,
lemkema01,1991,ATL,NL,NLCS,2B,7,6,168,12,11,1,2,0,,,
lemkema01,1991,ATL,NL,WS,2B,6,6,172,14,19,1,4,0,,,
lindjo01,1991,PIT,NL,NLCS,2B,7,7,189,12,24,1,1,0,,,
macdobo01,1991,TOR,AL,ALCS,P,1,0,3,0,0,0,0,0,,,
macksh01,1991,MIN,AL,ALCS,RF,5,5,138,3,0,1,0,0,,,
macksh01,1991,MIN,AL,WS,RF,6,6,164,11,0,0,0,0,,,
maldoca01,1991,TOR,AL,ALCS,LF,3,3,81,1,0,0,0,0,,,
maldoca01,1991,TOR,AL,ALCS,RF,2,2,54,3,0,0,0,0,,,
masonro01,1991,PIT,NL,NLCS,P,3,0,13,0,0,0,0,0,,,
mcclell01,1991,PIT,NL,NLCS,1B,1,0,3,0,0,0,0,0,,,
merceor01,1991,PIT,NL,NLCS,1B,2,2,48,13,0,1,0,0,,,
merckke01,1991,ATL,NL,NLCS,P,1,0,2,0,0,0,0,0,,,
merckke01,1991,ATL,NL,WS,P,2,0,3,0,0,0,0,0,,,
mitchke02,1991,ATL,NL,NLCS,LF,5,0,36,2,0,0,0,0,,,
mitchke02,1991,ATL,NL,WS,LF,3,0,24,0,0,0,0,0,,,
morrija02,1991,MIN,AL,ALCS,P,2,2,40,3,2,0,0,0,,,
morrija02,1991,MIN,AL,WS,P,3,3,69,3,3,0,0,0,,,
newmaal01,1991,MIN,AL,ALCS,3B,1,0,3,0,0,0,0,0,,,
newmaal01,1991,MIN,AL,ALCS,SS,1,0,6,0,0,0,0,0,,,
newmaal01,1991,MIN,AL,WS,2B,1,0,6,0,1,0,1,0,,,
newmaal01,1991,MIN,AL,WS,3B,2,0,6,0,0,0,0,0,,,
newmaal01,1991,MIN,AL,WS,SS,1,0,3,0,1,0,0,0,,,
olerujo01,1991,TOR,AL,ALCS,1B,5,5,132,40,3,0,5,0,,,
olsongr02,1991,ATL,NL,NLCS,C,7,7,189,62,1,0,2,0,0,,
olsongr02,1991,ATL,NL,WS,C,7,7,193,47,6,0,1,0,0,,
ortizju01,1991,MIN,AL,ALCS,C,3,1,36,10,0,0,0,0,0,,
ortizju01,1991,MIN,AL,WS,C,3,2,45,9,0,0,0,0,0,,
paglimi01,1991,MIN,AL,ALCS,3B,5,4,96,4,10,0,1,0,,,
paglimi01,1991,MIN,AL,WS,3B,6,2,81,3,3,0,0,0,,,
pattebo01,1991,PIT,NL,NLCS,P,1,0,6,0,0,0,0,0,,,
penaal01,1991,ATL,NL,NLCS,P,4,0,13,1,2,0,0,0,,,
penaal01,1991,ATL,NL,WS,P,3,0,16,0,0,0,0,0,,,
pendlte01,1991,ATL,NL,NLCS,3B,7,7,189,5,11,0,1,0,,,
pendlte01,1991,ATL,NL,WS,3B,7,7,196,3,20,2,2,0,,,
puckeki01,1991,MIN,AL,ALCS,CF,5,5,138,13,1,0,0,0,,,
puckeki01,1991,MIN,AL,WS,CF,7,7,199,16,1,0,0,0,,,
redusga01,1991,PIT,NL,NLCS,1B,5,5,138,51,0,2,2,0,,,
rodriro02,1991,PIT,NL,NLCS,P,1,0,3,0,0,0,0,0,,,
slaugdo01,1991,PIT,NL,NLCS,C,6,5,138,30,4,0,1,0,0,,
smilejo01,1991,PIT,NL,NLCS,P,2,2,8,0,1,0,0,0,,,
smithlo01,1991,ATL,NL,NLCS,LF,7,7,153,10,2,0,1,0,,,
smithlo01,1991,ATL,NL,WS,LF,3,3,66,2,0,0,0,0,,,
smithza01,1991,PIT,NL,NLCS,P,2,2,44,0,3,0,0,0,,,
smoltjo01,1991,ATL,NL,NLCS,P,2,2,46,3,0,0,0,0,,,
smoltjo01,1991,ATL,NL,WS,P,2,2,43,2,1,0,0,0,,,
sorrepa01,1991,MIN,AL,WS,1B,1,0,3,1,1,0,1,0,,,
stantmi02,1991,ATL,NL,NLCS,P,3,0,11,0,2,0,0,0,,,
stantmi02,1991,ATL,NL,WS,P,5,0,22,0,0,0,0,0,,,
stclara01,1991,ATL,NL,WS,P,1,0,3,0,0,0,0,0,,,
stottto01,1991,TOR,AL,ALCS,P,1,1,11,1,0,0,0,0,,,
tapanke01,1991,MIN,AL,ALCS,P,2,2,31,3,0,0,0,0,,,
tapanke01,1991,MIN,AL,WS,P,2,2,36,0,2,0,0,0,,,
timlimi01,1991,TOR,AL,ALCS,P,4,0,17,0,2,1,0,0,,,
tomlira01,1991,PIT,NL,NLCS,P,1,1,18,1,0,0,0,0,,,
treadje01,1991,ATL,NL,NLCS,2B,1,1,21,2,2,0,1,0,,,
treadje01,1991,ATL,NL,WS,2B,1,1,24,1,3,1,1,0,,,
vanslan01,1991,PIT,NL,NLCS,CF,7,7,189,18,1,0,0,0,,,
walkbo01,1991,PIT,NL,NLCS,P,3,0,28,0,0,0,0,0,,,
warddu01,1991,TOR,AL,ALCS,P,2,0,13,0,0,0,0,0,,,
wellsda01,1991,TOR,AL,ALCS,P,4,0,23,1,1,0,0,0,,,
westda01,1991,MIN,AL,ALCS,P,2,0,17,0,0,0,0,0,,,
westda01,1991,MIN,AL,WS,P,2,0,0,0,0,0,0,0,,,
whitede03,1991,TOR,AL,ALCS,CF,5,5,135,16,0,0,0,0,,,
willica01,1991,MIN,AL,ALCS,P,3,0,16,0,0,0,0,0,,,
willica01,1991,MIN,AL,WS,P,4,0,21,1,0,0,0,0,,,
wilsomo01,1991,TOR,AL,ALCS,LF,2,2,54,4,0,0,0,0,,,
wohlema01,1991,ATL,NL,NLCS,P,3,0,5,0,0,0,0,0,,,
wohlema01,1991,ATL,NL,WS,P,3,0,5,0,0,0,0,0,,,
alomaro01,1992,TOR,AL,ALCS,2B,6,6,165,15,15,0,4,0,,,
alomaro01,1992,TOR,AL,WS,2B,6,6,165,5,12,0,0,0,,,
averyst01,1992,ATL,NL,NLCS,P,3,2,24,0,0,0,0,0,,,
averyst01,1992,ATL,NL,WS,P,2,2,36,0,2,0,0,0,,,
belinst01,1992,PIT,NL,NLCS,P,2,0,5,0,0,0,0,0,,,
bellde01,1992,TOR,AL,ALCS,RF,2,0,12,1,0,0,0,0,,,
bellira01,1992,ATL,NL,NLCS,2B,1,0,6,1,0,0,0,0,,,
bellira01,1992,ATL,NL,NLCS,SS,2,0,12,0,1,0,0,0,,,
bellira01,1992,ATL,NL,WS,2B,1,0,6,1,0,0,0,0,,,
bellira01,1992,ATL,NL,WS,SS,3,0,15,1,2,0,1,0,,,
bellja01,1992,PIT,NL,NLCS,SS,7,7,182,6,8,1,0,0,,,
berryda01,1992,ATL,NL,NLCS,C,7,7,177,43,5,0,0,0,1,,
berryda01,1992,ATL,NL,WS,C,6,6,163,32,3,0,0,0,0,,
blankla02,1992,OAK,AL,ALCS,2B,5,4,120,11,13,2,3,0,,,
blausje01,1992,ATL,NL,NLCS,SS,7,7,171,8,17,2,1,0,,,
blausje01,1992,ATL,NL,WS,SS,6,6,148,7,23,0,5,0,,,
bondsba01,1992,PIT,NL,NLCS,LF,7,7,182,16,0,0,0,0,,,
bordepa01,1992,TOR,AL,ALCS,C,6,6,165,38,3,1,1,0,3,,
bordepa01,1992,TOR,AL,WS,C,6,6,165,48,5,1,2,0,0,,
bordimi01,1992,OAK,AL,ALCS,2B,2,2,42,5,4,0,2,0,,,
bordimi01,1992,OAK,AL,ALCS,SS,4,4,105,10,10,0,3,0,,,
breamsi01,1992,ATL,NL,NLCS,1B,7,6,153,53,4,0,3,0,,,
breamsi01,1992,ATL,NL,WS,1B,5,5,126,42,0,1,4,0,,,
brownje01,1992,OAK,AL,ALCS,3B,2,2,48,3,0,0,0,0,,,
brownje01,1992,OAK,AL,ALCS,CF,1,1,18,3,0,0,0,0,,,
cartejo01,1992,TOR,AL,ALCS,1B,2,0,12,2,0,0,0,0,,,
cartejo01,1992,TOR,AL,ALCS,RF,6,6,153,14,1,1,1,0,,,
cartejo01,1992,TOR,AL,WS,1B,2,2,57,20,1,0,0,0,,,
cartejo01,1992,TOR,AL,WS,LF,1,1,27,2,0,0,0,0,,,
cartejo01,1992,TOR,AL,WS,RF,3,3,81,5,0,0,0,0,,,
coleal01,1992,PIT,NL,NLCS,RF,4,3,72,7,1,0,1,0,,,
coneda01,1992,TOR,AL,ALCS,P,2,2,36,0,1,1,0,0,,,
coneda01,1992,TOR,AL,WS,P,2,2,31,0,0,0,0,0,,,
corsiji01,1992,OAK,AL,ALCS,P,3,0,6,0,0,0,0,0,,,
coxda01,1992,PIT,NL,NLCS,P,2,0,4,0,0,0,0,0,,,
darliro01,1992,OAK,AL,ALCS,P,1,1,18,1,0,0,0,0,,,
downske01,1992,OAK,AL,ALCS,P,2,0,7,0,0,0,0,0,,,
drabedo01,1992,PIT,NL,NLCS,P,3,3,51,0,0,0,0,0,,,
eckerde01,1992,OAK,AL,ALCS,P,3,0,9,0,0,0,0,0,,,
eichhma01,1992,TOR,AL,ALCS,P,1,0,3,0,0,0,0,0,,,
eichhma01,1992,TOR,AL,WS,P,1,0,3,0,0,0,0,0,,,
espyce01,1992,PIT,NL,NLCS,RF,2,0,5,0,0,0,0,0,,,
foxer01,1992,OAK,AL,ALCS,LF,1,0,6,1,0,0,0,0,,,
freemma02,1992,ATL,NL,NLCS,P,3,0,11,0,2,0,0,0,,,
gantro01,1992,ATL,NL,NLCS,LF,7,7,172,16,0,0,0,0,,,
gantro01,1992,ATL,NL,WS,LF,3,2,63,3,1,0,0,0,,,
garcica01,1992,PIT,NL,NLCS,2B,1,0,3,0,0,0,0,0,,,
glavito02,1992,ATL,NL,NLCS,P,2,2,22,1,2,0,0,0,,,
glavito02,1992,ATL,NL,WS,P,2,2,51,0,2,0,0,0,,,
griffal01,1992,TOR,AL,ALCS,SS,1,0,12,0,3,0,0,0,,,
griffal01,1992,TOR,AL,WS,SS,2,0,9,0,1,1,0,0,,,
grubeke01,1992,TOR,AL,ALCS,3B,6,6,165,5,16,1,1,0,,,
grubeke01,1992,TOR,AL,WS,3B,6,6,165,5,5,1,0,0,,,
guzmaju01,1992,TOR,AL,ALCS,P,2,2,39,0,0,0,0,0,,,
guzmaju01,1992,TOR,AL,WS,P,1,1,24,2,0,0,0,0,,,
henderi01,1992,OAK,AL,ALCS,LF,6,6,156,15,0,3,0,0,,,
henketo01,1992,TOR,AL,ALCS,P,4,0,14,0,0,0,0,0,,,
henketo01,1992,TOR,AL,WS,P,3,0,10,0,2,0,0,0,,,
honeyri01,1992,OAK,AL,ALCS,P,2,0,6,0,0,0,0,0,,,
huntebr01,1992,ATL,NL,NLCS,1B,2,1,30,7,0,0,0,0,,,
huntebr01,1992,ATL,NL,WS,1B,3,1,37,14,1,0,2,0,,,
jacksda02,1992,PIT,NL,NLCS,P,1,1,5,0,0,0,0,0,,,
justida01,1992,ATL,NL,NLCS,RF,7,7,183,19,3,0,0,0,,,
justida01,1992,ATL,NL,WS,RF,6,6,163,15,0,1,0,0,,,
keyji01,1992,TOR,AL,ALCS,P,1,0,9,0,0,0,0,0,,,
keyji01,1992,TOR,AL,WS,P,2,1,27,2,4,0,0,0,,,
kingje01,1992,PIT,NL,NLCS,3B,7,7,182,11,19,1,5,0,,,
lansfca01,1992,OAK,AL,ALCS,3B,5,4,114,3,9,1,1,0,,,
lavalmi01,1992,PIT,NL,NLCS,C,3,3,74,14,0,0,0,0,0,,
leema02,1992,TOR,AL,ALCS,SS,6,6,153,12,15,3,5,0,,,
leema02,1992,TOR,AL,WS,SS,6,6,156,14,10,1,4,0,,,
leibrch01,1992,ATL,NL,NLCS,P,2,0,14,0,1,0,0,0,,,
